Area,PDP,SSIM,Label
4329303,850.0,0.7,set1
4324333,850.0036068278436,0.7003138641290627,set1
4322539,849.9926573933872,0.6998413918979022,set1
4319136,849.9049290281048,0.7001662201239162,set1
4311805,850.0030058102205,0.7000173965790638,set1
4309587,849.9642286788018,0.6998265996177391,set1
4301839,849.908935973631,0.7002593651634649,set1
4314938,849.9898605290741,0.7005506777852951,set1
4308182,850.1542026450325,0.6992352379940552,set1
4304497,849.828836852947,0.7001637265274597,set1
4318327,849.9445760838352,0.7013797178380367,set1
4304337,849.8466565710781,0.7013096899994123,set1
4313511,850.0597778363548,0.7036634172174808,set1
4317494,850.3657196673099,0.7004259227867513,set1
4312967,849.7782249560092,0.7001061494820555,set1
4320571,850.2440640883449,0.7023674161588822,set1
4306065,849.8530501866264,0.7043591073097171,set1
4325416,850.4575597199183,0.6975881153170201,set1
4312813,850.5555872717193,0.7016201986055542,set1
4328411,849.8091474623935,0.6998930980934225,set1
4329782,850.2687457786302,0.7073530554110101,set1
4315272,850.1613721384622,0.6937894747741902,set1
4309706,850.1620765842383,0.6972828459315163,set1
4306589,850.2076163440046,0.7020321165408925,set1
4324024,850.2560383109055,0.7083794754335434,set1
4302887,850.0032103650959,0.7042766042068708,set1
4302748,850.2906606582634,0.702073257397124,set1
4317722,850.4164306266592,0.7006019227069524,set1
4317446,849.2328129562028,0.6932314699643943,set1
4320777,849.711913906016,0.6951185428531346,set1
4319110,849.7048579522194,0.6915725584969504,set1
4320464,850.9779837327582,0.7011484921559996,set1
4329123,850.0837044088303,0.7011392693712116,set1
4304045,849.630747699897,0.7018093185639256,set1
4304698,850.363122446989,0.6897152017065571,set1
4321713,850.9987395610115,0.6973775994139151,set1
4329708,849.4386958660878,0.7072172550680911,set1
4323158,849.9695361764855,0.7059668759108901,set1
4318383,849.7482804553962,0.7047947515716152,set1
4310389,849.3290712043324,0.7104613162078035,set1
4317058,849.4694310361128,0.7117116935895583,set1
4310345,848.71195015909,0.696974339945447,set1
4312485,850.1660480045643,0.702362868774815,set1
4326330,849.1611130567399,0.696584296449694,set1
4309306,848.9604617966015,0.7086823207388585,set1
4323895,851.4847710660069,0.7024464129197742,set1
4312017,849.0749243216064,0.7169993256678261,set1
4323757,850.7056422169386,0.7234040631813441,set1
4322478,848.1967109769317,0.6864659556024013,set1
4328796,850.5129299495111,0.7044749407155274,set1
4323157,850.1344195057721,0.6949912836991541,set1
4318484,850.1047629540066,0.6923478664412672,set1
4324218,850.9095817097219,0.6901349139964199,set1
4306277,849.7631793517397,0.7159481077761732,set1
4328985,850.396490347235,0.6992912096253566,set1
4301795,850.1495122785932,0.7171996414204715,set1
4319942,850.8334871325378,0.6946523251862566,set1
4308904,849.6400889958771,0.6979929758823127,set1
4327391,850.814804649752,0.6845693817025299,set1
4322483,850.4524094983569,0.706277120175748,set1
4324780,849.947077786465,0.7051976274909982,set1
4322838,848.1134212022271,0.7200882413103756,set1
4314964,849.2882874770994,0.6975042191140095,set1
4323727,848.9001078158301,0.6945655021478332,set1
4307498,850.5577779432554,0.7086471373932076,set1
4315494,849.166674102724,0.6973454730971115,set1
4328118,850.5650444397136,0.703885665067002,set1
4314191,850.1230536868782,0.6837392079626254,set1
4329962,851.091843363492,0.7063008541742916,set1
4328631,850.2902538278979,0.6992673804905377,set1
4321143,849.0425352295221,0.7201558362474517,set1
4310839,849.9881184801536,0.7087967684011431,set1
4306313,850.6315111425225,0.6908962974332147,set1
4323987,850.1640461378693,0.7180793600076104,set1
4303236,850.605615437097,0.6919330426705446,set1
4323984,848.95005804134,0.711538135260912,set1
4325940,849.2836389683235,0.6946042914664674,set1
4304205,849.6921382466911,0.7038145714863031,set1
4301286,851.1948403400659,0.7035449350046379,set1
4313432,850.2151848442597,0.68081360332982,set1
4313522,851.3941855077927,0.6844694098103161,set1
4325231,849.8600335201949,0.7004366844091977,set1
4314915,848.1364263320805,0.7003520438091385,set1
4311022,853.4942551706224,0.696487978026181,set1
