CNN,PDP,Area,Label
78,900.0,4390000.0,set1
80,899.9905750383441,4390001.0583883105,set1
78,900.12948790464,4390084.347418562,set1
78,900.0660846423846,4389942.179543401,set1
78,900.1045012159829,4390191.346242816,set1
78,900.2460650629262,4389910.724920413,set1
81,900.1862023401621,4390229.63608133,set1
78,899.7580652985316,4390044.747499351,set1
78,900.0914083279225,4390345.521925344,set1
79,899.4218369298517,4389671.050273447,set1
80,899.346479377838,4389647.245285921,set1
78,900.3089124528075,4389488.06739946,set1
79,899.4263817218929,4389993.16205333,set1
78,899.9255053230177,4391080.848502153,set1
78,900.500062265514,4389760.553236658,set1
81,899.7923660430914,4389513.294222295,set1
80,899.677370621871,4391083.239310606,set1
81,899.9564572971917,4390980.88054839,set1
79,899.9323322891677,4388143.770517267,set1
79,900.567734102543,4390235.1351730265,set1
78,902.1804638166809,4389319.467767358,set1
81,900.6221922205531,4389038.368656635,set1
80,900.3971751667989,4388336.469348123,set1
78,901.2419147895286,4388246.534225841,set1
78,900.4800096161547,4388170.897581666,set1
78,899.6223830690794,4389664.29389303,set1
80,900.5639552207027,4390419.190273247,set1
78,900.6545045635208,4389645.765033135,set1
79,898.7809502350577,4390639.505288378,set1
78,900.6598544859837,4387989.937266271,set1
78,900.1681787616957,4390766.450642971,set1
79,900.8444355087269,4393635.74276088,set1
79,899.9377448399425,4390537.851454288,set1
79,899.7851407501987,4389157.904999991,set1
80,900.5656708361582,4390128.087418135,set1
80,901.6844484903352,4391517.060441561,set1
78,901.2526173064962,4391669.5035831705,set1
81,903.8638645362142,4392736.042298347,set1
79,897.7913625128558,4392835.476067598,set1
80,901.3719227290546,4387719.731297625,set1
78,904.4202919925473,4394105.296788876,set1
81,895.3551089147354,4390883.933986906,set1
78,899.600947890103,4391687.139466999,set1
80,901.9764729565136,4392560.958466004,set1
81,900.9048978917309,4390106.796721633,set1
78,897.7837604087824,4394281.857959579,set1
80,901.2567512649529,4386187.146575636,set1
79,902.6595144551637,4390775.8065675795,set1
79,896.8291788429788,4390765.007999043,set1
78,899.4204175570807,4387070.202297337,set1
78,899.1592912994691,4389778.270074945,set1
80,903.1550073728281,4392429.126125381,set1
81,902.8572742407671,4391119.71971724,set1
80,900.43987887598,4391649.546968226,set1
79,900.402017660011,4395640.433644332,set1
79,897.0056161175052,4387449.541538409,set1
80,900.8403577512572,4397139.375019265,set1
80,899.5165314205709,4396574.922704264,set1
78,901.0027623888003,4394705.217058868,set1
78,902.9179642839989,4387266.708720331,set1
80,895.8419038269949,4392913.90850428,set1
81,903.412809526801,4387422.055085167,set1
79,900.8409327488235,4380706.910280193,set1
81,901.5959974907408,4390527.778128125,set1
81,899.9128323863146,4388063.144523268,set1
80,903.6188636172018,4391697.094154161,set1
79,897.6385544494943,4386518.444503567,set1
81,898.2861476397502,4386908.451990819,set1
79,904.0907995384687,4389282.903740526,set1
