CNN,PDP,Area,Label
80,880.0,4350000.0,set1
81,879.9595376658091,4350039.26151808,set1
78,879.9551125279839,4349917.241781473,set1
81,879.9006604964671,4350255.748054563,set1
79,880.2189451634874,4349282.683203277,set1
79,879.933063429345,4349954.202158707,set1
81,880.0633231970706,4350335.470671948,set1
78,880.3481901761284,4350048.185955972,set1
81,879.4981662452147,4350494.210743693,set1
80,880.1229783135695,4350523.084510346,set1
80,880.2240053822901,4350202.258064844,set1
81,880.2386749865258,4349782.946374932,set1
80,880.1301704352861,4350022.456685315,set1
81,880.4859019048423,4350259.821961656,set1
80,879.8549074955893,4350467.263401391,set1
79,879.5869066054329,4350727.949440094,set1
81,880.522876819406,4350979.056983995,set1
80,879.5328551285969,4350335.8939008145,set1
78,879.866197598236,4349653.285058868,set1
80,880.2621155105955,4348812.581353133,set1
80,880.2031970364329,4349220.809746899,set1
78,880.7442312019006,4352967.068610592,set1
79,880.5618271850723,4351307.101713948,set1
79,880.6955463928405,4350423.980734578,set1
80,879.2768255888376,4351041.647601751,set1
79,879.4099869872355,4349024.641346147,set1
79,879.651379002927,4349548.512469129,set1
80,880.2489830886632,4347127.840605482,set1
80,879.5665794399873,4349545.661156679,set1
78,880.4248209068339,4349407.861034871,set1
80,879.6441395277932,4347516.071406936,set1
80,880.2951701212754,4350237.268841345,set1
80,880.0665760595698,4354314.563795293,set1
79,878.6263110350235,4350967.618435171,set1
81,880.4944798015097,4348004.598447633,set1
79,880.4582670978878,4350012.547951986,set1
81,880.5336045623917,4348511.9126149705,set1
79,880.564368916744,4348991.963627293,set1
81,880.959975262929,4351150.657470623,set1
78,880.0577650274785,4348763.014808638,set1
79,881.3851700642842,4348294.662254966,set1
78,878.5906435844806,4349470.588096524,set1
78,880.673246049066,4349087.526676932,set1
80,880.1291835962529,4350978.142511498,set1
79,878.6603263614674,4344133.553033835,set1
78,880.2735383187634,4351049.008285158,set1
79,880.5622123185686,4355878.519769649,set1
80,880.5157842747917,4348912.517630301,set1
78,880.4658542269818,4346495.405133989,set1
81,880.8888830205618,4350541.027673618,set1
81,881.1298666316861,4350241.00644291,set1
79,878.4589302647769,4354489.283946432,set1
81,880.2470129822495,4350253.726394309,set1
80,880.4540466157204,4347471.745443544,set1
78,880.058000991791,4350805.314177987,set1
81,879.5175454544312,4351597.5934034325,set1
81,880.6544089440168,4349383.509695603,set1
79,882.3800234544256,4348822.734208578,set1
78,878.2681965438039,4347480.21361774,set1
80,876.6853006877061,4353702.810431441,set1
80,877.5070715949105,4352371.675042507,set1
80,880.5745915338753,4348131.939528724,set1
80,879.3037300007893,4353355.382081852,set1
80,881.0418072819671,4348000.035577766,set1
78,882.2665727604898,4348261.507583447,set1
80,879.6506175096223,4346505.753612049,set1
81,878.8863816924879,4344544.345175527,set1
79,879.0340864119227,4349710.14513233,set1
79,882.7492878623757,4346243.446028587,set1
80,881.2571090044643,4345354.878926488,set1
81,878.1378385919904,4356606.635945776,set1
79,877.2153899330955,4344546.735568989,set1
79,881.4458679374536,4343864.118378109,set1
79,880.4820288114732,4355791.768677211,set1
79,882.6566987629894,4346698.508842459,set1
78,880.4201808639401,4350055.891824708,set1
79,877.0385268817816,4351159.647065142,set1
79,879.8416252421345,4351874.967050697,set1
78,879.6884500364503,4351950.428082832,set1
79,877.7124497251702,4340993.104060994,set1
81,876.4772123728479,4353435.6503891675,set1
78,881.6152765578664,4353396.486334012,set1
81,881.1943592172956,4356527.108601291,set1
78,880.151054166842,4362949.788645913,set1
79,878.8418541067556,4347826.63417132,set1
78,879.0418965686742,4364843.082084785,set1
80,880.5075094873713,4347199.522504648,set1
79,878.2010015258675,4343611.699556541,set1
78,883.0932777248964,4351569.931887412,set1
79,876.2323943669713,4348683.46182271,set1
78,884.035524030439,4347251.2695398275,set1
81,877.7364216613586,4342912.616790901,set1
80,879.7941523685415,4349105.740757799,set1
79,883.8522213295187,4350001.449782409,set1
81,878.5977751924921,4359870.380468252,set1
80,880.496225458612,4348515.1376928985,set1
78,880.7312305259934,4352753.961240565,set1
79,886.1043109987243,4350863.617119574,set1
80,882.1829175332383,4352351.148369501,set1
81,878.247742700898,4339463.813598487,set1
79,875.7813091163385,4358762.640561102,set1
80,880.9767410619319,4355227.955218918,set1
79,878.9444192688926,4341866.47461694,set1
78,878.2863907370579,4343924.965468394,set1
81,880.2844810120223,4353379.758592151,set1
79,880.515443341022,4361939.019413548,set1
80,878.7045440509935,4342467.805653582,set1
78,881.0125980573027,4353211.050719618,set1
79,880.2226871711143,4335043.166113392,set1
78,879.9703183320966,4339122.3959167795,set1
78,880.4208709911538,4344030.178786804,set1
79,880.5571016407733,4352806.062511068,set1
81,882.0826449766113,4343007.110600066,set1
78,877.8074804274231,4343669.671238444,set1
78,879.2669422414998,4339908.735451666,set1
80,878.418277921153,4354748.1206288,set1
80,883.441665699913,4357356.954805682,set1
80,881.4127067959316,4354647.83580649,set1
78,883.4266338917985,4356735.465619739,set1
79,880.659055757132,4363657.041094965,set1
79,878.7629754316584,4360820.376526351,set1
81,881.0015257847438,4349184.362042062,set1
81,875.1976664828736,4352649.847029276,set1
81,882.167933697469,4346955.942211644,set1
80,876.4155385275218,4340492.946982508,set1
78,875.9487468892899,4354395.509221461,set1
79,885.1181617356423,4350716.146277421,set1
80,879.6373230726476,4344352.147028707,set1
78,878.5056116964772,4338422.24203672,set1
80,878.6946903462568,4351739.795903039,set1
79,876.5328362449999,4362196.699441724,set1
80,887.1870395597572,4350105.157657149,set1
78,882.69174752971,4344983.626315872,set1
78,874.4246003764556,4354194.666313617,set1
81,885.0963434406649,4347567.829350063,set1
81,879.3575743227309,4343052.405322117,set1
81,883.0518488851129,4352040.037260479,set1
79,879.4229322278414,4354642.384543869,set1
79,885.4689987781081,4343981.007025393,set1
78,881.3748779381118,4342211.36170002,set1
78,882.1812393720398,4359052.067511178,set1
78,879.1950619739883,4351328.713820798,set1
80,888.187078750972,4341281.894273278,set1
79,880.2548660544317,4343104.859109794,set1
80,884.7493462790169,4349364.359392369,set1
81,883.7548102636298,4347307.125123464,set1
79,878.6699403206396,4364427.729558939,set1
79,883.0698412187195,4352013.598094914,set1
80,877.844339899492,4340788.817512328,set1
80,883.7908108527997,4359367.121995116,set1
81,885.7561887335662,4354349.377118823,set1
78,878.679347536468,4355043.839102696,set1
79,882.5858129829719,4339443.4383897595,set1
80,877.1092086337097,4342646.278227844,set1
79,880.3198172647228,4340748.186372613,set1
78,879.8629761519388,4365105.352404019,set1
81,878.9340166343411,4344042.226126983,set1
78,886.0542353686445,4353501.609593459,set1
80,877.7717182414402,4355370.21700576,set1
78,882.2018309461209,4345667.942807298,set1
81,880.2820851993916,4349934.121776658,set1
81,885.6046739722127,4329983.164684501,set1
79,879.8158987332463,4361011.773224623,set1
79,883.9763968839213,4359816.086269222,set1
78,884.8854304389436,4347402.562250578,set1
81,876.53681779159,4343380.600640882,set1
80,877.3343638175387,4364520.8592511555,set1
78,876.6463903985833,4338077.967526516,set1
78,880.9628804286998,4351484.487670475,set1
81,873.6698883134943,4347550.483272103,set1
79,881.856906843215,4338957.171124786,set1
80,877.3267522453073,4347160.438872742,set1
80,881.5351786382486,4366222.313639351,set1
79,882.5756824035698,4357638.03971868,set1
78,880.9000093777377,4348402.849849445,set1
81,887.4272411292637,4337588.470605999,set1
80,873.2766197293615,4352711.41420041,set1
81,885.8366618301685,4335715.559670385,set1
80,881.9090036006469,4341396.382439136,set1
78,879.5883236542616,4337709.086391085,set1
80,882.0317407422237,4334940.166761541,set1
79,880.8828158392706,4349995.315604981,set1
78,879.2026189117083,4338679.365534574,set1
81,879.1145307810082,4350288.428550771,set1
81,878.3127654746934,4359651.955023971,set1
80,878.6979013782582,4367586.673662752,set1
78,882.4024015492008,4341618.839393677,set1
81,871.8172083692496,4352096.296968883,set1
78,874.7780131248252,4337085.2647699835,set1
79,875.4913154397241,4373512.917922321,set1
79,881.0714845883607,4339483.433831615,set1
78,882.1952377127881,4347289.973126749,set1
79,874.0445492388282,4335671.83007908,set1
80,875.9396695614673,4348341.483199726,set1
79,881.663155566797,4349008.957496284,set1
78,879.729288882845,4325310.384765817,set1
78,889.9245216391838,4352587.707125627,set1
78,875.4828544819069,4346540.899998987,set1
79,872.7331050813877,4348259.570302136,set1
78,877.1786647822634,4356648.420087204,set1
83,880.0,4350000.0,set1
82,880.0047386356758,4349965.168430021,set1
83,879.9220106081851,4349870.776460171,set1
83,879.8873822856656,4350160.890126122,set1
82,880.1692912856337,4350007.99839883,set1
83,879.5779147442508,4350023.903794516,set1
82,880.0864469474039,4349931.344193727,set1
83,879.7768861937587,4350056.789544489,set1
82,879.6870806012291,4350251.574441086,set1
82,879.9738794412216,4350004.588610399,set1
82,880.0687884688343,4350213.047779348,set1
82,879.5999254682706,4349300.929963717,set1
82,880.3785908594413,4350513.662796113,set1
83,879.9828026271501,4350824.181584105,set1
83,880.2179445699971,4348799.323302819,set1
83,879.7970662953901,4349862.695892365,set1
82,880.2333867037363,4352496.006122037,set1
82,879.003898164571,4350233.860684803,set1
83,878.9365094439061,4349946.558428259,set1
83,880.148667380409,4349465.769699685,set1
82,879.6929581738121,4349921.291025031,set1
82,879.8863641586323,4348978.860084571,set1
83,880.5921248573304,4349954.611919701,set1
83,880.4498098132598,4348144.6057265485,set1
83,880.6191543720955,4349342.812073912,set1
